aircraft_lat,aircraft_long,model_title,model_desc,aircraft_category,aircraft_callsign,mission_date,agency_name,agency_area_code,agency_phone,address_street,address_city,address_state,address_zip
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-09-12,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-05-04,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-11-27,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-04-08,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-12-28,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-03-14,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-04-08,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-01-04,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-01-13,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-01-10,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-10-02,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-04-12,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2018-03-22,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-12-01,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-02-28,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-06-19,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-08-25,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-05-27,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-04-25,Koss-Roob,826,374-2311,2 Lerdahl Center,Lakewood,Washington,98498
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-10-06,Bergnaum Inc,911,558-2763,1 Fordem Parkway,Boise,Idaho,83716
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-08-03,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-10-19,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-05-02,Feil-Graham,852,141-0281,5557 Roth Center,Fairbanks,Alaska,99790
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-04-02,Jenkins-Mante,163,631-5779,6166 Kipling Drive,Spokane,Washington,99210
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-11-04,Hudson-Roob,614,319-8819,60 Northwestern Circle,Pocatello,Idaho,83206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-08-10,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-07-17,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2018-03-11,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-07-11,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-07-22,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-03-28,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-03,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-05-06,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-07-14,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-10-05,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-03-03,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-03-02,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2018-03-06,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-09-02,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-01-26,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-08-09,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-04-27,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-05-02,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-07-14,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-04-13,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-05-19,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2018-01-03,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-02-06,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-02-05,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-12-03,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-12-12,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-08-26,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2018-04-18,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-06-08,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2018-03-15,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-01-29,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-09-28,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-08-14,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-08-24,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-05-31,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-02-11,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-09-18,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-06-23,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-10-25,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-04-01,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-07-01,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-04-16,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-10-20,Koss-Roob,826,374-2311,2 Lerdahl Center,Lakewood,Washington,98498
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-11-29,Bergnaum Inc,911,558-2763,1 Fordem Parkway,Boise,Idaho,83716
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-06-18,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-04-21,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-04-17,Feil-Graham,852,141-0281,5557 Roth Center,Fairbanks,Alaska,99790
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-08-02,Jenkins-Mante,163,631-5779,6166 Kipling Drive,Spokane,Washington,99210
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2018-02-03,Hudson-Roob,614,319-8819,60 Northwestern Circle,Pocatello,Idaho,83206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-05-04,Wolff-Prohaska,839,631-6361,4 Vahlen Circle,Spokane,Washington,99220
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-05-15,"Bernhard, Bogisich and Roberts",620,801-6832,9 Hudson Terrace,Spokane,Washington,99260
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-02-08,"Larson, Larson and Stehr",577,840-0654,75252 Mendota Trail,Eugene,Oregon,97405
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-09-11,"Lockman, Ziemann and Botsford",977,074-9446,93855 Vahlen Road,Billings,Montana,59112
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-04-11,"Stanton, Stark and Hodkiewicz",597,081-2408,9 Butternut Park,Portland,Oregon,97232
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-01-22,"Reichert, Legros and Jacobs",516,356-6131,740 Schurz Pass,Portland,Oregon,97211
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-04-24,Wiegand-Corkery,472,400-2123,57 Service Place,Olympia,Washington,98506
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-03-14,Mueller-Stoltenberg,963,975-6331,9 Pleasure Drive,Yakima,Washington,98907
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-09-28,"Homenick, Mueller and Dach",191,421-0597,4 Farragut Circle,Seattle,Washington,98127
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2018-03-27,Champlin-Leuschke,629,587-4510,5 Karstens Terrace,Seattle,Washington,98115
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-05-20,"Bartoletti, Moore and Kilback",97,650-3899,4 Jenna Point,Seattle,Washington,98148
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-10-22,Rowe-Abbott,859,344-0186,6508 Duke Plaza,Boise,Idaho,83732
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-11-01,Littel LLC,337,189-3282,935 Dwight Parkway,Anchorage,Alaska,99599
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-12-25,Hane-Feeney,498,367-7336,4965 Debra Park,Portland,Oregon,97229
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-11-14,"McDermott, Thompson and Grant",594,359-9480,76194 Northview Terrace,Everett,Washington,98206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-02-01,Parisian-Bogan,75,566-1131,903 Merrick Plaza,Salem,Oregon,97312
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-07-26,Franecki LLC,136,757-0838,195 Merchant Point,Anchorage,Alaska,99512
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-02-08,Mohr-Larson,135,655-0550,52588 Northfield Circle,Spokane,Washington,99260
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-10-23,"Cremin, Stehr and Altenwerth",167,240-6847,9 Northwestern Pass,Portland,Oregon,97271
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2017-07-10,Keeling-Bernier,565,173-6549,0067 Melrose Park,Tacoma,Washington,98442
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2018-04-18,"Rutherford, Klein and Quitzon",820,981-4834,8 Calypso Point,Vancouver,Washington,98682
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-03-05,"O'Conner, Cormier and Mayer",682,106-2041,8443 Hoepker Trail,Seattle,Washington,98175
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-11-11,Raynor Inc,516,624-1064,17448 Charing Cross Point,Portland,Oregon,97240
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-04-20,Hagenes-Ernser,437,291-8575,66 Cottonwood Park,Tacoma,Washington,98442
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-10-25,Carter-Luettgen,430,376-2713,2 Hallows Trail,Spokane,Washington,99260
45.9783,-108.195,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL3,2017-10-31,Hintz Inc,698,197-6411,9579 Longview Place,Everett,Washington,98206
46.6288,-120.574,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL7,2017-05-04,Rippin-Ward,427,537-8264,7834 Twin Pines Junction,Everett,Washington,98206
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2018-03-17,Rolfson-Thompson,108,041-0972,7 David Park,Boise,Idaho,83716
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2018-03-27,Buckridge Inc,428,245-9684,3874 Brown Park,Billings,Montana,59105
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-10-14,Funk and Sons,985,026-5147,09 Barby Place,Helena,Montana,59623
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-11-24,Lueilwitz-Gutmann,212,074-8790,35573 Haas Pass,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-04-16,Hirthe Group,371,150-1010,67941 Mifflin Park,Portland,Oregon,97206
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2018-03-15,Kautzer-Grant,562,506-2999,88 Oxford Pass,Seattle,Washington,98121
47.6536,-117.432,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL1,2017-06-27,Klein Inc,308,217-8472,97920 Dottie Terrace,Spokane,Washington,99205
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2017-12-15,Dietrich Group,846,809-4559,146 Village Parkway,Olympia,Washington,98506
44.0185,-123.1,pilatus pc-12,This is the pilatus pc-12 fixed wing aircraft.,fixed_wing,AL2,2017-07-25,Graham-Schuppe,579,812-5679,44670 Helena Alley,Vancouver,Washington,98682
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2018-02-11,Ward-Ullrich,868,372-2920,6482 Ridgeway Pass,Tacoma,Washington,98481
45.5287,-122.636,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL4,2018-03-03,Cummings-Baumbach,299,788-6082,914 Cardinal Lane,Portland,Oregon,97271
45.5653,-122.645,learjet 31-a,This is the learjet 31-a fixed wing aircraft.,fixed_wing,AL5,2017-06-14,"Abshire, Kunde and Grant",122,414-1321,4 Welch Terrace,Helena,Montana,59623
47.4441,-122.325,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL10,2018-02-07,Bradtke-Roob,144,211-4936,8177 Corry Road,Portland,Oregon,97232
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-07-10,"Kris, Volkman and Ortiz",252,925-5568,6080 Bultman Pass,Portland,Oregon,97271
47.1042,-122.87,agusta a109e,This is the agusta a109e rotor craft.,rotor_craft,AL6,2017-10-28,"Mills, Spencer and Funk",218,336-9917,54 Meadow Valley Road,Pocatello,Idaho,83206
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-11-16,Koss-Roob,826,374-2311,2 Lerdahl Center,Lakewood,Washington,98498
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-12-01,Bergnaum Inc,911,558-2763,1 Fordem Parkway,Boise,Idaho,83716
47.6063,-122.331,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL8,2017-11-03,Murazik-Haag,883,468-6406,4799 Chive Way,Seattle,Washington,98121
47.6849,-122.297,airbus h-135,This is the airbus h-135 rotor craft.,rotor_craft,AL9,2017-05-04,Mayer-Davis,102,809-5490,1 Hansons Place,Portland,Oregon,97206
